name,pop,location
Hadali,49663,"https://www.google.com/maps/?q=32.6404,74.569"
Mirpur Mathelo,49311,"https://www.google.com/maps/?q=28.0214,69.5491"
Bannu,49008,"https://www.google.com/maps/?q=32.9853,70.604"
Dullewala,48682,"https://www.google.com/maps/?q=31.8344,71.4364"
Hala,47915,"https://www.google.com/maps/?q=25.8146,68.422"
Ratodero,47819,"https://www.google.com/maps/?q=27.8023,68.289"
Jatoi Shimali,47144,"https://www.google.com/maps/?q=29.5183,70.8447"
Jauharabad,46545,"https://www.google.com/maps/?q=32.2902,72.2818"
Bat Khela,46079,"https://www.google.com/maps/?q=34.6178,71.9725"
Kot Radha Kishan,45938,"https://www.google.com/maps/?q=31.1707,74.1013"
Kahna Nau,45888,"https://www.google.com/maps/?q=31.3671,74.369"
Mustafabad,45795,"https://www.google.com/maps/?q=30.8922,73.4989"
Chak Thirty-one -Eleven Left,45665,"https://www.google.com/maps/?q=30.4239,72.6974"
Talagang,44960,"https://www.google.com/maps/?q=32.9277,72.4159"
Taunsa,44869,"https://www.google.com/maps/?q=30.7036,70.6505"
Thatta,44302,"https://www.google.com/maps/?q=24.7474,67.9235"
Sarai Alamgir,44120,"https://www.google.com/maps/?q=32.9049,73.7552"
Usta Muhammad,43983,"https://www.google.com/maps/?q=28.1772,68.0437"
Kamra,43779,"https://www.google.com/maps/?q=33.747,73.5123"
Umarkot,42074,"https://www.google.com/maps/?q=25.3633,69.7418"
Basirpur,41617,"https://www.google.com/maps/?q=30.5776,73.8391"
Sehwan,41150,"https://www.google.com/maps/?q=26.4249,67.8613"
Naushahra Virkan,40853,"https://www.google.com/maps/?q=31.9626,73.9712"
Fort Abbas,40626,"https://www.google.com/maps/?q=29.1934,72.8552"
Havelian,40481,"https://www.google.com/maps/?q=34.0535,73.1599"
Khairpur,40083,"https://www.google.com/maps/?q=28.0644,69.7036"
Dinga,39784,"https://www.google.com/maps/?q=32.641,73.7204"
Ladhewala Waraich,39757,"https://www.google.com/maps/?q=32.1569,74.1156"
Khalabat,39148,"https://www.google.com/maps/?q=34.06,72.8896"
New Badah,38855,"https://www.google.com/maps/?q=27.3417,68.0319"
Tank,38488,"https://www.google.com/maps/?q=32.2171,70.3831"
Kot Mumin,38355,"https://www.google.com/maps/?q=32.1884,73.0299"
Tandlianwala,38285,"https://www.google.com/maps/?q=31.0336,73.1327"
Chak Azam Sahu,38216,"https://www.google.com/maps/?q=30.752,73.0283"
Loralai,37787,"https://www.google.com/maps/?q=30.3705,68.598"
